"wavfile","trialnr","itemID","word","ppnr","gesturecondition","excelsheet","cross","opmerking"
"21_C1.I.3_pir†mide_ppn_010_nogesture.wav","21","C1.I.3","pir†mide","010","nogesture.wav","010.xlsx",NA,"lichte aarzelling"
"23_C2.I.18_alergia_ppn_010_nogesture.wav","23","C2.I.18","alergia","010","nogesture.wav","010.xlsx",NA,"aarzeling"
"25_C3.I.19_esp†rrago_ppn_010_nogesture.wav","25","C3.I.19","esp†rrago","010","nogesture.wav","010.xlsx",NA,"lichte aarzeling en woord wordt afgekapt en in volgende items verder uitgesproken"
"61_C1.I.4_cardi¢logo_ppn_010_gesture.wav","61","C1.I.4","cardi¢logo","010","gesture.wav","010.xlsx",NA,"twijfel in uitspraak in alle 2 de pogingen, ik zou het item schrappen"
"62_P.C3.3_ecolog°a_ppn_010_gesture.wav","62","P.C3.3","ecolog°a","010","gesture.wav","010.xlsx",NA,"wordt hier het juiste woord geannoteerd? Want de laatste helft van het vorige item is ook nog te horen"
"184_C4.I.10_programa_ppn_010_nogesture.wav","184","C4.I.10","programa","010","nogesture.wav","010.xlsx",NA,"spreekt het woord 3x uit, de laatste keer is het vloeiendst maar die wordt afgekapt en gaat verder in het volgende item"
"185_C3.I.9_c°rculo_ppn_010_nogesture.wav","185","C3.I.9","c°rculo","010","nogesture.wav","010.xlsx",NA,"wordt hier dan wel het juiste woord geannoteerd?"
"4_P.C4.1_mandarina_ppn_011_gesture.wav","4","P.C4.1","mandarina","011","gesture.wav","011.xlsx",NA,"aarzeling, check textgrid"
"9_C1.I.12_ocÇano_ppn_011_nogesture.wav","9","C1.I.12","ocÇano","011","nogesture.wav","011.xlsx",NA,"door aarzelign extra lettergreep?"
"18_C1.I.14_cat¢lico_ppn_011_gesture.wav","18","C1.I.14","cat¢lico","011","gesture.wav","011.xlsx",NA,"aarzeling, woord wordt niet afgemaakt"
"52_C3.I.16_geogr†fico_ppn_011_nogesture.wav","52","C3.I.16","geogr†fico","011","nogesture.wav","011.xlsx",NA,"woord wordt niet afgemaakt; check textgrid"
"53_C4.I.11_ensalada_ppn_011_nogesture.wav","53","C4.I.11","ensalada","011","nogesture.wav","011.xlsx",NA,"deel vorige woord zit in het file plus ensalada - file splitten? Check textgrid"
"55_C2.I.19_farmacia_ppn_011_gesture.wav","55","C2.I.19","farmacia","011","gesture.wav","011.xlsx",NA,"aarzeling, eerste 2 lettergrepen worden herhaald - check textgrid"
"59_C2.I.20_aristocracia_ppn_011_gesture.wav","59","C2.I.20","aristocracia","011","gesture.wav","011.xlsx",NA,"file eindigt voordat het woord eindigt - check textgrid"
"60_C1.I.3_pir†mide_ppn_011_gesture.wav","60","C1.I.3","pir†mide","011","gesture.wav","011.xlsx",NA,"deel vorige woord zit er nog in - plus piramide - file splitten?"
"68_C4.I.8_proceso_ppn_011_nogesture.wav","68","C4.I.8","proceso","011","nogesture.wav","011.xlsx",NA,"aarzeling - check textgrid"
"84_P.C4.3_bailarina_ppn_011_gesture.wav","84","P.C4.3","bailarina","011","gesture.wav","011.xlsx",NA,"aarzeling - check textgrid"
"126_C4.I.12_chocolate_ppn_011_gesture.wav","126","C4.I.12","chocolate","011","gesture.wav","011.xlsx",NA,"kuch aan einde - check textgrid"
"128_C2.I.4_ventilador_ppn_011_nogesture.wav","128","C2.I.4","ventilador","011","nogesture.wav","011.xlsx",NA,"aarzeling, herhaling, woord niet helemaal in file"
"129_C4.I.4_mango_ppn_011_nogesture.wav","129","C4.I.4","mango","011","nogesture.wav","011.xlsx",NA,"file begint met einde vorige woord - check textgrids, files aanpassen?"
"148_C3.I.16_geogr†fico_ppn_011_gesture.wav","148","C3.I.16","geogr†fico","011","gesture.wav","011.xlsx",NA,"aarzeling, herhaling, niet hele woord in file"
"149_C4.I.11_ensalada_ppn_011_gesture.wav","149","C4.I.11","ensalada","011","gesture.wav","011.xlsx",NA,"file begint met einde vorige woord, plus ensalada. Check files en textgrids -splitten?"
"161_C2.I.9_radiador_ppn_011_gesture.wav","161","C2.I.9","radiador","011","gesture.wav","011.xlsx",NA,"aarzeling, herhaling eerste paar lettergrepen - check textgrid"
"7_P.C4.3_bailarina_ppn_013_gesture.wav","7","P.C4.3","bailarina","013","gesture.wav","013.xlsx",NA,"gelach, aarzeling, herhaling - check textgrid"
"8_C4.I.19_centro_ppn_013_gesture.wav","8","C4.I.19","centro","013","gesture.wav","013.xlsx",NA,"gelach en einde vorige woord voor centro - check file en textgrid"
"10_C3.I.20_helic¢ptero_ppn_013_gesture.wav","10","C3.I.20","helic¢ptero","013","gesture.wav","013.xlsx",NA,"lettergreep minder wordt uitgesproken - check textgrid"
"22_C1.I.2_cent°metro_ppn_013_nogesture.wav","22","C1.I.2","cent°metro","013","nogesture.wav","013.xlsx",NA,"herhaling van eerste lettergreep - check textgrid"
"30_C2.I.20_aristocracia_ppn_013_gesture.wav","30","C2.I.20","aristocracia","013","gesture.wav","013.xlsx",NA,"aarzeling, check textgrid"
"49_P.C2.3_voleibol_ppn_013_nogesture.wav","49","P.C2.3","voleibol","013","nogesture.wav","013.xlsx",NA,"aarzeling, check textgrid"
"83_C1.I.4_cardi¢logo_ppn_013_gesture.wav","83","C1.I.4","cardi¢logo","013","gesture.wav","013.xlsx",NA,"verspreking, herhaling, woord niet helemaal in file - check textgrid"
"84_C4.I.21_planeta_ppn_013_gesture.wav","84","C4.I.21","planeta","013","gesture.wav","013.xlsx",NA,"eind vorige woord zit er nog in, daarna pas planeta - check textgrid; files splitten?"
"106_C3.I.20_helic¢ptero_ppn_013_nogesture.wav","106","C3.I.20","helic¢ptero","013","nogesture.wav","013.xlsx",NA,"verspreking - check textgrid"
"113_C4.I.3_formulario_ppn_013_gesture.wav","113","C4.I.3","formulario","013","gesture.wav","013.xlsx",NA,"verspreking, herhaling, niet hele woord zit in file - check textrgrid"
"114_C2.I.17_actor_ppn_013_gesture.wav","114","C2.I.17","actor","013","gesture.wav","013.xlsx",NA,"file begint met einde vorige woord - check textgrid"
"148_C1.I.15_dem¢crata_ppn_013_gesture.wav","148","C1.I.15","dem¢crata","013","gesture.wav","013.xlsx",NA,"extra lettergreep toegevoegd aan het eind? Check textgrid"
"11_C1.I.9_acr¢bata_ppn_014_nogesture.wav","11","C1.I.9","acr¢bata","014","nogesture.wav","014.xlsx",NA,"hapering"
"18_C1.I.14_cat¢lico_ppn_014_gesture.wav","18","C1.I.14","cat¢lico","014","gesture.wav","014.xlsx",NA,"hapering, tweede productie gebruiken"
"29_P.C3.3_ecolog°a_ppn_014_nogesture.wav","29","P.C3.3","ecolog°a","014","nogesture.wav","014.xlsx",NA,"hapering"
"43_C3.I.21_hist¢rico_ppn_014_nogesture.wav","43","C3.I.21","hist¢rico","014","nogesture.wav","014.xlsx",NA,"hapering, tweede uitspraak gebruiken"
"68_C4.I.8_proceso_ppn_014_nogesture.wav","68","C4.I.8","proceso","014","nogesture.wav","014.xlsx",NA,"niet bruikbaar"
"69_C3.I.20_helic¢ptero_ppn_014_nogesture.wav","69","C3.I.20","helic¢ptero","014","nogesture.wav","014.xlsx",NA,"lettergrepen omgewisseld"
"106_C1.I.4_cardi¢logo_ppn_014_gesture.wav","106","C1.I.4","cardi¢logo","014","gesture.wav","014.xlsx",NA,"hapering, niet bruikbaar"
"121_C1.I.7_telÇfono_ppn_014_gesture.wav","121","C1.I.7","telÇfono","014","gesture.wav","014.xlsx",NA,"produceert contrastief accent in verband met voorgaande item dat ook op fono eindigt"
"142_C1.I.16_gram¢fono_ppn_014_gesture.wav","142","C1.I.16","gram¢fono","014","gesture.wav","014.xlsx",NA,"tweede productie gebruiken"
"96_C2.I.20_aristocracia_ppn_015_gesture.wav","96","C2.I.20","aristocracia","015","gesture.wav","015.xlsx",NA,"korte aarzeling - check textgrid"
"10_P.C4.3_bailarina_ppn_016_gesture.wav","10","P.C4.3","bailarina","016","gesture.wav","016.xlsx",NA,"3 lettergrepen uitgesproken ipv 4"
"17_C1.I.7_telÇfono_ppn_016_nogesture.wav","17","C1.I.7","telÇfono","016","nogesture.wav","016.xlsx",NA,"hapering, tweede productie is de beste, maar wordt afgekapt. Deze moet dus opnieuw geknipt worden"
"18_C1.I.6_autom¢vil_ppn_016_nogesture.wav","18","C1.I.6","autom¢vil","016","nogesture.wav","016.xlsx",NA,"wordt hier dan wel het juiste woord geannoteerd?"
"32_P.C2.3_voleibol_ppn_016_nogesture.wav","32","P.C2.3","voleibol","016","nogesture.wav","016.xlsx",NA,"hapering"
"47_C1.I.13_carn°vora_ppn_016_nogesture.wav","47","C1.I.13","carn°vora","016","nogesture.wav","016.xlsx",NA,"hapering, wordt goed geannoteerd?"
"54_C1.I.16_gram¢fono_ppn_016_gesture.wav","54","C1.I.16","gram¢fono","016","gesture.wav","016.xlsx",NA,"hapering, wordt goed geannoteerd?"
